repeat,repeat_seed,fold,algorithm,class,recall
1,42,4,Decision Tree,SEKER,0.9308641975308642
1,42,4,Decision Tree,SIRA,0.8519924098671727
1,42,4,RBF SVM,BARBUNYA,0.9207547169811321
1,42,4,RBF SVM,BOMBAY,1.0
1,42,4,RBF SVM,CALI,0.9447852760736196
1,42,4,RBF SVM,DERMASON,0.9520451339915373
1,42,4,RBF SVM,HOROZ,0.9507772020725389
1,42,4,RBF SVM,SEKER,0.9629629629629629
1,42,4,RBF SVM,SIRA,0.872865275142315
1,42,5,Logistic Regression,BARBUNYA,0.8939393939393939
1,42,5,Logistic Regression,BOMBAY,1.0
1,42,5,Logistic Regression,CALI,0.9325153374233128
1,42,5,Logistic Regression,DERMASON,0.921015514809591
1,42,5,Logistic Regression,HOROZ,0.9584415584415584
1,42,5,Logistic Regression,SEKER,0.9358024691358025
1,42,5,Logistic Regression,SIRA,0.8977272727272727
1,42,5,k-NN,BARBUNYA,0.8712121212121212
1,42,5,k-NN,BOMBAY,1.0
1,42,5,k-NN,CALI,0.9539877300613497
1,42,5,k-NN,DERMASON,0.9308885754583921
1,42,5,k-NN,HOROZ,0.9558441558441558
1,42,5,k-NN,SEKER,0.9407407407407408
1,42,5,k-NN,SIRA,0.875
1,42,5,Decision Tree,BARBUNYA,0.8825757575757576
1,42,5,Decision Tree,BOMBAY,0.9904761904761905
1,42,5,Decision Tree,CALI,0.9263803680981595
1,42,5,Decision Tree,DERMASON,0.9069111424541608
1,42,5,Decision Tree,HOROZ,0.9272727272727272
1,42,5,Decision Tree,SEKER,0.9333333333333333
1,42,5,Decision Tree,SIRA,0.8693181818181818
1,42,5,RBF SVM,BARBUNYA,0.8977272727272727
1,42,5,RBF SVM,BOMBAY,1.0
1,42,5,RBF SVM,CALI,0.941717791411043
1,42,5,RBF SVM,DERMASON,0.9337094499294781
1,42,5,RBF SVM,HOROZ,0.9558441558441558
1,42,5,RBF SVM,SEKER,0.9506172839506173
1,42,5,RBF SVM,SIRA,0.884469696969697
2,43,1,Logistic Regression,BARBUNYA,0.8787878787878788
2,43,1,Logistic Regression,BOMBAY,1.0
2,43,1,Logistic Regression,CALI,0.9570552147239264
2,43,1,Logistic Regression,DERMASON,0.9056338028169014
2,43,1,Logistic Regression,HOROZ,0.9402597402597402
2,43,1,Logistic Regression,SEKER,0.9408866995073891
2,43,1,Logistic Regression,SIRA,0.8861480075901328
2,43,1,k-NN,BARBUNYA,0.875
2,43,1,k-NN,BOMBAY,1.0
2,43,1,k-NN,CALI,0.9693251533742331
2,43,1,k-NN,DERMASON,0.9211267605633803
2,43,1,k-NN,HOROZ,0.9324675324675324
2,43,1,k-NN,SEKER,0.9408866995073891
2,43,1,k-NN,SIRA,0.8633776091081594
2,43,1,Decision Tree,BARBUNYA,0.8787878787878788
2,43,1,Decision Tree,BOMBAY,1.0
2,43,1,Decision Tree,CALI,0.950920245398773
2,43,1,Decision Tree,DERMASON,0.9014084507042254
2,43,1,Decision Tree,HOROZ,0.9272727272727272
2,43,1,Decision Tree,SEKER,0.9236453201970444
2,43,1,Decision Tree,SIRA,0.8519924098671727
2,43,1,RBF SVM,BARBUNYA,0.9015151515151515
2,43,1,RBF SVM,BOMBAY,1.0
2,43,1,RBF SVM,CALI,0.9570552147239264
2,43,1,RBF SVM,DERMASON,0.9197183098591549
2,43,1,RBF SVM,HOROZ,0.935064935064935
2,43,1,RBF SVM,SEKER,0.9433497536945813
2,43,1,RBF SVM,SIRA,0.8804554079696395
2,43,2,Logistic Regression,BARBUNYA,0.928030303030303
2,43,2,Logistic Regression,BOMBAY,1.0
2,43,2,Logistic Regression,CALI,0.911042944785276
2,43,2,Logistic Regression,DERMASON,0.926657263751763
2,43,2,Logistic Regression,HOROZ,0.9637305699481865
2,43,2,Logistic Regression,SEKER,0.9556650246305419
2,43,2,Logistic Regression,SIRA,0.888045540796964
2,43,2,k-NN,BARBUNYA,0.9015151515151515
2,43,2,k-NN,BOMBAY,1.0
2,43,2,k-NN,CALI,0.9294478527607362
2,43,2,k-NN,DERMASON,0.923836389280677
2,43,2,k-NN,HOROZ,0.9455958549222798
2,43,2,k-NN,SEKER,0.9408866995073891
2,43,2,k-NN,SIRA,0.8804554079696395
2,43,2,Decision Tree,BARBUNYA,0.8977272727272727
2,43,2,Decision Tree,BOMBAY,1.0
2,43,2,Decision Tree,CALI,0.9141104294478528
2,43,2,Decision Tree,DERMASON,0.9012693935119888
2,43,2,Decision Tree,HOROZ,0.9404145077720207
2,43,2,Decision Tree,SEKER,0.9532019704433498
2,43,2,Decision Tree,SIRA,0.8462998102466793
2,43,2,RBF SVM,BARBUNYA,0.9393939393939394
2,43,2,RBF SVM,BOMBAY,1.0
2,43,2,RBF SVM,CALI,0.9141104294478528
2,43,2,RBF SVM,DERMASON,0.9365303244005642
2,43,2,RBF SVM,HOROZ,0.9585492227979274
2,43,2,RBF SVM,SEKER,0.9532019704433498
2,43,2,RBF SVM,SIRA,0.8823529411764706
2,43,3,Logistic Regression,BARBUNYA,0.9056603773584906
2,43,3,Logistic Regression,BOMBAY,1.0
2,43,3,Logistic Regression,CALI,0.9539877300613497
2,43,3,Logistic Regression,DERMASON,0.9308885754583921
2,43,3,Logistic Regression,HOROZ,0.9533678756476683
2,43,3,Logistic Regression,SEKER,0.9629629629629629
2,43,3,Logistic Regression,SIRA,0.8823529411764706
2,43,3,k-NN,BARBUNYA,0.9018867924528302
2,43,3,k-NN,BOMBAY,1.0
2,43,3,k-NN,CALI,0.9570552147239264
2,43,3,k-NN,DERMASON,0.9308885754583921
2,43,3,k-NN,HOROZ,0.9637305699481865
2,43,3,k-NN,SEKER,0.9580246913580247
2,43,3,k-NN,SIRA,0.8747628083491461
2,43,3,Decision Tree,BARBUNYA,0.8867924528301887
2,43,3,Decision Tree,BOMBAY,1.0
2,43,3,Decision Tree,CALI,0.9478527607361963
2,43,3,Decision Tree,DERMASON,0.92524682651622
2,43,3,Decision Tree,HOROZ,0.927461139896373
2,43,3,Decision Tree,SEKER,0.9432098765432099
2,43,3,Decision Tree,SIRA,0.8444022770398482
2,43,3,RBF SVM,BARBUNYA,0.9018867924528302
2,43,3,RBF SVM,BOMBAY,1.0
2,43,3,RBF SVM,CALI,0.9662576687116564
2,43,3,RBF SVM,DERMASON,0.9421720733427362
2,43,3,RBF SVM,HOROZ,0.9637305699481865
2,43,3,RBF SVM,SEKER,0.9703703703703703
2,43,3,RBF SVM,SIRA,0.8823529411764706
2,43,4,Logistic Regression,BARBUNYA,0.8981132075471698
2,43,4,Logistic Regression,BOMBAY,0.9903846153846154
2,43,4,Logistic Regression,CALI,0.941717791411043
2,43,4,Logistic Regression,DERMASON,0.8984485190409027
2,43,4,Logistic Regression,HOROZ,0.9559585492227979
2,43,4,Logistic Regression,SEKER,0.9506172839506173
2,43,4,Logistic Regression,SIRA,0.8766603415559773
2,43,4,k-NN,BARBUNYA,0.8716981132075472
2,43,4,k-NN,BOMBAY,1.0
2,43,4,k-NN,CALI,0.9539877300613497
2,43,4,k-NN,DERMASON,0.9097320169252469
2,43,4,k-NN,HOROZ,0.9559585492227979
2,43,4,k-NN,SEKER,0.9382716049382716
2,43,4,k-NN,SIRA,0.8804554079696395
2,43,4,Decision Tree,BARBUNYA,0.8943396226415095
2,43,4,Decision Tree,BOMBAY,1.0
2,43,4,Decision Tree,CALI,0.9141104294478528
2,43,4,Decision Tree,DERMASON,0.8970380818053597
2,43,4,Decision Tree,HOROZ,0.917098445595855
2,43,4,Decision Tree,SEKER,0.9259259259259259
2,43,4,Decision Tree,SIRA,0.8538899430740038
2,43,4,RBF SVM,BARBUNYA,0.9245283018867925
2,43,4,RBF SVM,BOMBAY,1.0
2,43,4,RBF SVM,CALI,0.950920245398773
2,43,4,RBF SVM,DERMASON,0.922425952045134
2,43,4,RBF SVM,HOROZ,0.9507772020725389
