algorithm,fit_time_mean,fit_time_sd,prediction_time_mean,prediction_time_sd
Decision Tree,1.5396965252000048,0.34049491584045316,0.002245336200000262,0.0005310793332081131
k-NN,1.799879943466658,0.5849278539349485,0.25684317900001286,0.08650234910777906
Logistic Regression,4.1685109069999955,2.4128266681007218,0.006006229666657721,0.002546037746227972
RBF SVM,5.604796758199988,1.802984267417822,0.45236868666667457,0.19754952894430342
