Algorithm,Full Macro-F1,Reduced Macro-F1,Macro-F1 Change,Full Balanced Accuracy,Reduced Balanced Accuracy,Balanced Accuracy Change,Full Cohen's Kappa,Reduced Cohen's Kappa,Kappa Change
RBF SVM,0.9189110363818014,0.9198115484765801,0.0009005120947787049,0.9177244523374904,0.9183134433149013,0.0005889909774108304,0.8868651732259065,0.8874042327952993,0.0005390595693928191
Logistic Regression,0.9358449469099851,0.9357914959134787,-5.345099650644336e-05,0.9346823337633122,0.9346807428829899,-1.590880322366317e-06,0.908220942416668,0.9081323077152158,-8.863470145215047e-05
k-NN,0.941537369428161,0.9423610408990409,0.0008236714708799164,0.9400904634308767,0.9409568416868717,0.000866378255995004,0.9157886890314916,0.9165943720104689,0.0008056829789773179
Decision Tree,0.9353745894015255,0.9352482796309648,-0.00012630977056071746,0.9333816326950365,0.9335238328920237,0.00014220019698718556,0.9076671680809985,0.9070881513152979,-0.0005790167657006018
